,learner,openmlid,anchors,slopes,is_nonmonotonic,is_nonmonotonic64,is_nonmonotonic64
10,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,446,"[16, 23, 32, 45, 64, 91, 128, 162]","[-0.00015337043908472475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,False,False
11,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,679,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 828]","[0.014909643865615283, 0.0037964808417044506, 0.0021789006663488868, -0.00039975712683742765, 6.839572907661783e-05, 0.0007812083300235852, 0.0005792478295356197, -0.00012449537294830792, 0.00015169603603081, -6.199668891918293e-05, 1.0356158502280806e-05, 8.626251025827289e-05]",True,True,True
12,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,715,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[-0.0144399205080686, -0.004723178861876043, 0.003232829280400945, 0.0053174880948994715, 0.002412986804244876, 0.0013866485674686013, 0.0006437138831070058, 0.0001900047935596311, 0.0005337249718635219, 7.712109988544621e-05, 7.175961002396171e-06, 8.745123258720721e-05]",True,True,True
13,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,723,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[-0.01446005361708994, -0.005943553665733692, 0.004188414972912331, 0.004559159795520699, 0.002444074383215204, 0.0018786883176130683, 0.0003454353132845775, 0.0001842699158889315, 0.00033293723727964445, 7.626431981891721e-05, 0.0002096700934949066, 0.00010486982461712558]",True,True,True
14,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,728,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1448, 2048, 3281]","[0.0016126153925720033, 0.00021356113811957448, 0.00044504862484225587, -0.00019906879290668638, 0.0004225695271993696, -0.0002324288794205776, -0.00016091583112550867, -0.0001526608496616494, -0.00015102227878163114, 9.66084415882389e-05, 6.775562825802009e-06, -3.3380100163701236e-05, 2.4571428571428592e-05, 7.688311688311762e-06, -3.0129870129870866e-06, -4.141353383458655e-05]",True,True,True
15,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,737,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1448, 2048, 2516]","[0.005767778094864677, 0.0030168407419567038, 0.001013578977180887, 0.0004110854587515185, 6.530933410318949e-05, 0.0003310886972212001, 0.0002750120942778142, -0.0003390847535456511, -0.00011633502465240634, 8.373066732903497e-05, -4.4260027138538236e-05, 5.998684177046962e-05, -2.5402597402597424e-05, 4.576623376623381e-05, 3.376623376623379e-06, -1.633082706766919e-05]",True,True,True
16,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,740,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.005998870839140683, 0.010162726006790105, 0.004423563607193236, 0.0008230332394336076, 0.0007921055780403465, 0.0006322918537285583, 0.00024643957852553975, 0.00044129844432220887, 5.7565275010694144e-05, 9.744836460798587e-05, 7.559293060487666e-05, -2.1834330660000243e-05]",True,True,True
17,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,741,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 828]","[0.006403221523280679, 0.003811928007914408, 0.0018455533458397414, 0.000218223609841487, 0.0008242233282793175, -0.000536492070964859, 0.00010257657820554295, 0.0003963962645973701, 9.284185304551723e-05, -0.00012751435818734148, -2.2018507568514255e-05, -4.329385109929114e-06]",True,True,True
18,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,743,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.0111636398599692, 0.004936860335470743, 0.0017494790764420456, 0.0011940880517055464, 0.0008946347413779628, 0.001147611861175888, 0.00043901796889691836, 0.00048593757943530587, 0.0001471966411439899, -0.00010403050339070203, 9.08605718719869e-05, -2.7774048502720983e-05]",True,True,True
19,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,751,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.005686515152497987, 0.007571396086645521, 0.004776484055455304, 0.002640634398520947, 0.0003373567892784213, 0.00036179864273091404, 0.0005647326608285232, 8.155533976755934e-05, 0.00023373056082757898, 6.7430374503703e-05, 0.00021847821566000434, 1.3943079992508154e-07]",True,True,True
20,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,772,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1764]","[0.008941583504352854, 0.0027415023931588183, 0.0017836117946991809, 0.0020071161228873654, 0.0006536130459549117, 0.0005080796048115866, 0.0005597292270576837, 0.00013364464533662405, 0.0001486274773930256, 0.00010523415379338397, 2.0212094477000708e-05, 4.894321220351399e-05, 0.00010898701298701263, 0.00018583458646616495]",True,True,True
21,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,799,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.005099228984807055, 0.0020877488823405703, -6.421813184902821e-05, 0.0007043036055988014, 9.250530754001788e-05, -0.00022974273488420412, 0.0002433753011879279, -9.562242273274039e-05, 0.00011542920322950111, -5.2135986166815596e-05, -4.3324764410474515e-05, -1.8957230269279933e-05]",True,False,False
22,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,813,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.009459696497591442, 0.006535257873294944, 0.0033000060185080864, 0.0004743657554221607, 0.0007233022659451619, 0.0006356224516205751, 0.0004698703049007177, 0.00019815654275773286, -1.624876722759318e-05, -1.503613903743073e-05, -1.0929913637014073e-05, 1.6006952119085927e-05]",True,True,True
23,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,845,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[-0.0005239034728343214, 0.0038391381545384517, 0.00208282238879345, 0.0007117455951593626, 0.0008851380072326027, 0.0007122318151100063, 0.0003672857209815512, 0.00032282759494310723, 0.0001304155556261119, -7.81834386444462e-05, 1.5105748204037583e-06, -4.065104327851884e-05]",True,True,True
24,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,849,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[-0.016127287210189627, -0.007054058396817981, 0.001022076834152874, 0.0016695762246403947, 0.0013595031266736876, 0.001750512113547132, 0.00014013845696912486, 0.000519858296882972, 5.309530432309837e-05, 5.8943884963045344e-05, 7.650106061903485e-06, 6.428126197990095e-05]",True,True,True
25,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,871,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1448, 2048, 3116]","[0.013824511684475148, 0.004199894080649184, 0.003489943276333894, 0.0019480569130198887, 0.0002856090509351363, 0.00028991484805918717, 0.0005665444193032224, 1.2894008778635691e-05, -0.00014123296692506866, 0.00012051434104163721, 0.00016442218354044527, -0.00010704251445609477, -5.958441558441563e-05, -1.8493506493506496e-05, 1.4285714285714321e-05, 6.288721804511285e-05]",True,True,True
26,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,903,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[-0.012186843214173732, -0.00537221891442663, 0.003251813920544796, 0.003974811000072371, 0.0018730554718453215, 0.0015335274820810145, 0.0006981076607570631, 0.00019566811644330744, 0.00037858083332597186, 0.00026646802223192844, 0.00014138227545041783, 8.23357708779459e-05]",True,True,True
27,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,910,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.0019171337053895568, 0.00790823096752629, 0.003934032537726575, 0.0029012740890887695, 0.0013023978385540951, 0.00045636655029206803, 0.0002520831230551562, 3.1333432654922597e-05, 0.00032497953916963334, 2.81675822317949e-05, 3.254481233137137e-05, 1.799084249295764e-05]",True,True,True
28,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,912,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.009213001528053282, 0.003812282529297677, 0.00047942294415949106, -0.00011608275697868036, 0.001135690198658542, 8.873922395040601e-05, 0.0007535406785863863, -0.00010331169532410901, 0.0001186950176402036, 1.6341177008977473e-06, 2.9864899593589908e-05, -2.32864386762563e-05]",True,True,True
29,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,913,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.003148804460830585, 0.008348120412836295, 0.004217180095276089, 0.002235691258270011, 0.001329181108987055, 0.0010827528784081494, 0.0004996811141467456, -0.00011163168324431386, 0.0002729084441736069, 0.00011989353769831239, -5.854267191460106e-05, 1.0007180067798001e-05]",True,True,True
30,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,914,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.0017813106779311172, 0.0020741563567891193, 0.0014786615830880499, 4.0449576495952755e-06, 0.00034318197851961643, 8.499866358189629e-05, -0.0005817591324198213, 7.430547099509094e-05, 0.0001215461424593921, -0.00019124584595914222, -5.475900810893858e-07, -8.549040440227115e-05, 4.4779220779220805e-05, -5.6842105263158e-05]",True,True,True
31,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,917,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[-0.014659934730619882, -0.006919747513924197, 0.0034175599090546633, 0.00430274889206016, 0.0024977814099552535, 0.0013581680941045593, 0.0007682392971737509, 0.0004651194128700895, 0.00027788619638115366, 0.00016013636613255978, -2.8628536250570093e-05, 4.940886823294699e-05]",True,True,True
32,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,966,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1085]","[-0.00022016079158936302, 3.0352223534041693e-05, 8.593099632815791e-05, 0.00034142342965750016, 0.00027383622494052856, 0.000652980434588352, 0.0002088428547457382, -2.4581142270245156e-05, 4.361949265404712e-05, 4.781124915483953e-07, 3.8810400550046865e-06, 2.4376735068928318e-05, -3.6103896103896134e-05, -6.6165413533834676e-06]",True,True,True
33,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,991,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1399]","[-0.009002896219158216, 0.0009004518873720579, 0.0008604067973372544, 0.0009832093090764204, 0.00022877919590609321, 0.00033174384674335426, -0.00010886576027125786, -7.041864386383306e-05, 7.264984812778018e-05, 8.795048348413785e-06, 2.2877753444983193e-05, 4.021807648829832e-05, -6.348051948051954e-05, -2.1353383458646637e-06]",True,True,True
34,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1448,"[16, 23, 32, 45, 64, 91, 128, 156]","[-0.0030465157487437663, -0.0009693174377108837, -0.00010422154636147341, 0.0008284351157880324, 0.0015679348728145593, 0.0010555745877990244, 0.0007003262042518552, 0.0007545329561382348]",True,True,True
35,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1450,"[16, 23, 32, 45, 64, 100]","[-0.006907389990941043, -0.0023509147174423308, -4.95888748756153e-05, 0.0018133831735902518, 0.002588168024721488, 0.0011148173699190005]",True,True,True
36,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1465,"[16, 23, 32, 45, 64, 85]","[-0.007376138707339809, 0.012630664366284136, 0.01088893691613386, 0.004992702212952083, 0.002540781329168706, 0.0017586961581308844]",True,True,True
37,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1488,"[16, 23, 32, 45, 64, 91, 128, 157]","[-0.0019808329637383553, 0.00011016706024562978, 0.0023146811065959598, 0.002487533236859461, 0.0011962304322371937, 0.00011067066641342817, 0.00026364145197418085, 6.59711514699893e-05]",True,True,True
38,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1489,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1448, 2048, 2896, 4096, 4376]","[0.007332005567226261, 0.005360453848188859, 0.0016265462168565988, 0.0015079224632756861, 0.00035028873182928465, 0.00018763506283309077, 3.240964651682118e-05, 9.249170765571166e-05, 1.0887405468649256e-05, -4.4065914703180846e-05, 8.426729202191591e-05, 4.43011915201022e-05, -5.283116883116886e-05, 0.00013215584415584422, 6.877922077922083e-05, -1.4129870129870139e-05, -1.1948051948052016e-06, 5.076691729323312e-05]",True,True,True
39,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1499,"[16, 23, 32, 45, 64, 91, 128, 170]","[0.000292557132308685, 0.0010274503476412522, 0.0005348942719886833, 0.00011282467602751392, 0.00060594547601737, 1.0295547477216206e-05, 1.9910119782062264e-05, -2.2922697636193462e-05]",True,True,True
40,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40975,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1399]","[-0.008543108949228455, 0.00019577218830985215, 0.0010442864790469917, 0.0012681482404628924, 0.000746788675875497, -6.081992385318331e-05, -4.017726782623146e-05, 0.00024266366376825136, 5.404567397908695e-05, 5.054893247798105e-05, -3.372575864961955e-05, -2.936190870764414e-05, -6.181818181818183e-06, 4.132330827067674e-05]",True,True,True
41,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40981,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 558]","[-0.011429957742927797, -0.0037873139993016168, 0.0008197106934260214, 0.0016182467193667205, 0.0013627136007353493, 0.000508486803056417, 0.00024116200443940943, 2.740821615781974e-05, 5.975447666209808e-05, 9.623630014222762e-05, 5.7623948450053854e-05, -3.865587132837945e-05]",True,True,True
42,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,346,"[16, 23, 32, 40]","[0.017922793997749112, 0.02051847630511497, 0.010318677768310964, 0.010318677768310964]",True,,
43,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,446,"[16, 23, 32, 45, 64, 91, 128, 162]","[0.006879392850883305, 0.008414176733230305, 0.0021517171915614824, -0.0014033492589522372, 0.001310495975567441, -0.0012904132675939472, 0.0002599837154027194, -0.00014411890270522542]",True,False,False
44,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,715,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.0, 0.0, 0.0, 0.0008267750593148128, -5.085315044949806e-05, 0.0003504129712227632, 0.0006845711859861534, 0.0003869917012605605, 0.00042406844972173364, 0.0004430998159443214, 0.00023284729993927557, 0.00019218734260938161]",True,True,True
45,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,723,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.0, 0.0, 0.0, 0.00035075855433034324, -0.0007308686472634537, 0.00025715878730034087, 0.0008271701755564946, 0.00035904025887159276, 0.0004803970413061356, 0.00019915183747983134, 0.00032061299057949523, 0.0001592520625648745]",True,True,True
46,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,740,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.003396698823497766, 0.00120828952789101, 0.0007647744456324762, 0.002005746250373573, 0.00201248200780889, 0.0007962790601797465, 0.0007765531340180375, 0.0005923838112846646, 0.00018187893445939716, 0.00011972402563248826, -1.1770632514842995e-05, -3.815762273853376e-05]",True,True,True
47,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,741,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 828]","[0.007497882707945625, -0.003621399504900056, -0.0015025902210318456, 0.0014013646265921365, 0.0003212440648282747, 0.0005980277622007024, -0.0006310339223953467, -0.0003341060142678022, -0.000516793123400199, -0.00012909516169781158, 0.00010029281379681597, -0.00013998113135673415]",True,True,True
48,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,743,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.005891959338673076, 0.005568423491560758, 0.0044304687886375866, 0.001607103064065905, 0.000877036289989168, 0.0006109683843576524, 0.0011768521730013135, 0.00032034549306109525, 0.00022007039066364404, -0.00016879131252536535, 0.00011566313463989387, -4.589505157059173e-05]",True,True,True
49,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,751,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.0032712772981550475, 0.0014117199396821455, 0.0006621009682420237, 0.003869979858006884, 0.0013178764152535884, 0.0008536871406191553, 0.0008242553054763347, -2.3923287707523422e-05, 0.00031069295610287596, 0.0001763753821562394, 0.0001267151884531074, 4.867799142149002e-05]",True,True,True
50,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,845,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.0012310570508341618, 0.0002947435524594769, 0.0005156058941957632, 0.001591150646490112, 0.000718558514829675, 0.0007225542742576338, 0.00014466489880228767, 0.00026509924915892643, -4.126464639480664e-05, 2.064302392114859e-05, -6.73327615671625e-06, -2.1886576413191063e-05]",True,True,True
51,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,849,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.0, 0.0, 0.0, 0.000123593555739656, -0.0008709898614015234, 0.00013743859308179131, 0.00018223647525805994, 0.00017569219576232993, 0.00016618969847374297, 0.00016204747198521053, 3.578236442202318e-06, 8.962051618036421e-05]",True,True,True
52,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,910,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.0035906151942064553, 0.0005269319623636025, -0.0004342211221270478, 0.0022032672699179934, 0.0018708635248188036, 0.0009681251755088973, 0.0009182615604469888, 0.00013161349168435536, 0.0004944327619829969, 7.33703738987555e-05, 0.00024208520223059009, 4.852656239187812e-05]",True,True,True
53,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,912,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.004665151551222529, 0.005710894983762474, 0.0032325132279866857, 0.0019580635666935956, 0.0009234409299141073, 0.000854761639023978, 0.0007448720955504958, 0.00017545174494672632, -3.26436585946183e-05, 1.5267705818901388e-07, -7.347380716896454e-05, 4.562500502221392e-05]",True,True,True
54,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,917,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.0, 0.0, 0.0, 0.0011850942452092687, -0.002113007204992951, 0.0004039194310987385, 0.0004894441083732756, 0.00045198224560761007, 0.0004102392744379813, 0.00017811256985290707, 0.00032128227885023326, -1.719473070364615e-05]",True,True,True
55,sklearn.linear_model.SGDClassifier,11,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 505]","[0.001355835022272868, 0.0011166404302729543, 0.0009717955310017645, -0.0007342489092279507, -0.0006643766258125811, -0.00022937970279966532, 0.0003059169056232095, 4.617941676404917e-05, -0.00010043296328291654, 7.20107340467397e-05]",True,True,True
56,sklearn.linear_model.SGDClassifier,31,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.0003479926076956667, 0.0005051244893730326, 0.002292874491037849, 0.0034308950780264987, 0.0019425800043183295, 0.0015592645576431394, 0.0013496926875723615, 7.502231586362772e-06, -0.00023170516162240396, -0.00022470642276987973, 0.000846448277772921, 0.0005454425168411244]",True,True,True
57,sklearn.linear_model.SGDClassifier,61,"[16, 23, 32, 45, 64, 121]","[0.004570691660981067, -0.0018542446206449756, -0.0006926955024701488, 0.0005587755156942463, -0.0018559823405149755, -0.00043340569476569624]",True,False,False
58,sklearn.linear_model.SGDClassifier,346,"[16, 23, 32, 40]","[0.0029964962602144016, 0.0017507022570175685, -0.00014494524319552053, -0.0003809798451459137]",True,,
59,sklearn.linear_model.SGDClassifier,446,"[16, 23, 32, 45, 64, 91, 128, 162]","[0.004334596599172943, -0.00016984823722032832, -0.004571374357751581, -0.007082918026405704, -0.006600938452182895, -0.0015220096082180835, -8.859020252095718e-05, 0.0003234873006242086]",True,True,True
60,sklearn.linear_model.SGDClassifier,715,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.0004590043132692245, 0.0018305971253450878, 0.00434262895538404, 0.006040930373939494, 0.0029778308920914097, 0.0022852791905149422, 0.0005224359010368216, 0.00040254993436187583, 0.0003265947539957134, 0.00016392572821309116, 2.465813498459318e-06, 7.177597118739133e-05]",True,True,True
61,sklearn.linear_model.SGDClassifier,723,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.0004717155056434082, 0.002359134184224182, 0.005841757576125947, 0.005397895384642593, 0.003299540358417569, 0.0016530544409299938, 0.00040541129994661816, 0.000667639497045238, 0.0003990294680855554, 0.00015924577312903524, 0.00032686866338541454, 1.2403990402800173e-05]",True,True,True
62,sklearn.linear_model.SGDClassifier,740,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.01273180234371662, 0.011897524098157267, 0.004358368340046864, 0.0013951872959564234, 0.001415100716321012, 0.00015074673851681367, 0.0006823578924100429, -0.00016249162898759236, 9.53395749773267e-05, -0.00029357014968167254, -0.00012742635980782227, -6.953317827025513e-05]",True,True,True
63,sklearn.linear_model.SGDClassifier,741,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 828]","[0.0003866503780761875, 0.00018592675969184336, 0.002236606523979751, -0.0004794798667795348, -2.1361942431959252e-05, -8.373492378141198e-05, 0.000128901649453979, -0.0006243043923701095, -1.485934758557433e-05, -0.00031256020033750394, 1.7340424580147617e-05, 0.00010577582378204466]",True,True,True
64,sklearn.linear_model.SGDClassifier,743,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.01293840300468799, 0.006272719346486787, 0.0031162477367517294, 0.00048570589357146575, 0.0008248911846097804, 0.001006458831796666, -0.00014915561571474928, 0.0001357432265496192, -0.00018716240842350345, -0.00013793274208941683, -2.4046427137632935e-05, 0.0004571481803112805]",True,True,True
65,sklearn.linear_model.SGDClassifier,751,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.013166181018725189, 0.008474384651854208, 0.004935084942755751, 0.0018607773962605193, -0.0002537750569193161, 0.0006910192323175835, 0.0007786523728774662, -0.0001349736438375431, 0.00017027817840339514, 0.0007171258886278955, 0.0002957065466025577, -2.4763507708160886e-05]",True,True,True
66,sklearn.linear_model.SGDClassifier,799,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.006792230026226666, 0.0038951799950393035, 0.0008109524977806489, 0.0013311483393644646, 0.001076105691815287, -0.000397884767400594, 0.0003469426850384028, -0.0005718040098911933, 0.0002756670796933829, 0.0001487496944140266, -0.0002568461705869208, -8.570435463672791e-05]",True,True,True
67,sklearn.linear_model.SGDClassifier,806,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.0, 1.5741833923652088e-05, 3.840491101774275e-05, 0.00024079692802098058, 0.0005353611857956277, 0.0033286348427261775, 0.0021201126667546723, 0.000897319676258182, 0.00026914794658328465, 0.000383245742997363, -9.757678635682968e-05, -0.0001064799843901988]",True,True,True
68,sklearn.linear_model.SGDClassifier,813,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.009655906497412074, 0.007008329896174508, 0.003903017466337094, -0.0002593737137562763, 0.001484435886181576, -0.00012292717495636908, 0.0006646402972517943, 0.0011041823244158369, -0.0001396772103073053, -0.0006806969346433249, -0.0002214024352498597, 2.214052980311409e-05]",True,True,True
69,sklearn.linear_model.SGDClassifier,845,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]","[0.002104275478572136, 0.004135542512290305, 0.002973840164242852, 0.0019884170510846076, 0.0018922032468476615, 0.001066254214945832, -0.0002965045720532079, 4.2826320389398405e-06, 9.802281534171609e-05, -0.00034188202600036517, -7.571194609080038e-05, 3.998371328460206e-05]",True,True,True
