,learner,openmlid,slopes,is_nonmonotonic
0,SVC_sigmoid,11,"[-0.0014441907861858106, 0.00019805853521129085, 0.00035291968223451155, 0.00040290497521731347, -0.0007662077986679086, -0.000149296076425227, 0.0004806825900855708, -0.0002488800906076092, 0.00012067656834170106, -2.009334674995082e-05]",True
1,SVC_sigmoid,54,"[0.008565997620135404, 0.003082336924759727, 0.00017474375805502114, -0.00018588045803454568, -0.00023755416925470295, -0.00033985888729827973, -0.00041390091844825086, -9.99385914070171e-05, -0.00033529769551086415, -4.7439322403363403e-05, 6.2888521612115e-05, -9.923085508181916e-05]",True
2,SVC_sigmoid,61,"[-0.004991169363597107, -0.003913074986902157, -0.0027839924770051605, -0.0008399556203320673, -7.938896258044988e-05, -0.00024754702142746075]",True
3,SVC_sigmoid,188,"[0.005923625104380339, 8.842663555462551e-05, -6.53556696102191e-05, -0.0015071529762710715, 0.0013437783019166274, 0.000646358581965889, -1.7656737394667403e-05, -0.0002309729220848464, 0.0004953332024481212, 4.537994944852138e-05, -4.5051246730616304e-06, -0.00014882034144553773]",True
4,SVC_sigmoid,299,"[0.0040220604283169896, -0.00048004360055804826, 0.000316018889409489, 0.0011344121722926157, -0.0003758220899060298, -0.0005449528464876815, -0.00017404978684154617, -0.0010655738511143056, -6.352568370454461e-05, -0.00010099475543179248]",True
5,SVC_sigmoid,346,"[0.0070635636620477345, 0.005040672709261048, 0.0035957058896858175, 0.0035957058896858175]",True
6,SVC_sigmoid,446,"[0.002337588438362344, -0.0016297740656867502, -0.002905651751270761, -0.002482629662279029, -0.002382661099372849, -3.521124899012535e-05, -0.00017937768808535105, -0.0005704716186943846]",True
7,SVC_sigmoid,715,"[0.0005769290133206198, 0.001406717449055736, 0.0008514621929352938, 0.0013165049352213446, -0.00017949558322875758, 0.00031353533561986647, 7.242950480402505e-05, 6.109442828472014e-05, 0.0001582216269188233, 5.2919258043796853e-05, -2.5592135347376642e-05, 7.718580774406907e-05]",True
8,SVC_sigmoid,718,"[2.4557260920897273e-05, -1.0153482880755612e-05, 6.442371903252496e-05, 0.0003128476302808345, 0.00010563864593624433, 2.2773435436059636e-05, 0.00013447089720027046, 0.00024580335249555857, 3.4052552207756076e-05, -4.327598738759118e-06, -7.16198358296312e-05, 3.680392660467043e-05]",True
9,SVC_sigmoid,723,"[0.0008767462252233931, 0.0013234327249625677, 0.0012674868638295597, 0.0014172160225303305, 3.865626248318416e-05, 0.0003350022906423657, -7.945949991003614e-05, 0.00021320110712689405, 6.55923217573092e-05, 5.056333335135152e-06, 7.490301208736537e-05, 8.580841725101228e-05]",True
10,SVC_sigmoid,740,"[0.0004704803927212424, 0.001735052105870874, 0.0013173511993221088, 0.001285924779633774, 0.0004022009698551911, 0.00013921402737611738, -0.0001384472752372344, -6.200726597755699e-05, -7.563441428167167e-06, -1.6474684558746354e-05, 5.667470223178965e-05, -3.3107493135193237e-05]",True
11,SVC_sigmoid,741,"[0.0031742063464848687, -0.0006588740498789969, -0.001111856373166153, -0.0005207066399579659, -0.00036321011777806057, -0.0009164248919844779, -0.00027055669415806943, 0.0002042589605790604, -0.00010331708458144146, -0.00013433982732369163, -1.9850072798023802e-05, -1.944687219699784e-05]",True
12,SVC_sigmoid,743,"[0.0013196934163091014, 7.50946199090542e-05, 0.0012308269839535018, -5.346034880606842e-05, 0.0001709797661316149, -0.0002488213686083385, -0.00027414709128100096, -0.0002747813359965778, -0.00010748983389693885, 6.314804742469484e-05, 9.811347978855604e-07, 3.0220178627109488e-05]",True
13,SVC_sigmoid,751,"[0.0026605594216788674, 0.0019773636914792512, 0.0025407080485936855, 0.0021351732846148354, -0.000556242487724382, -0.00010170368239936196, 7.547821880134857e-05, 0.000321318294864136, -0.00012843389538123067, -0.00012056231863898282, -1.5638482010866278e-05, -8.69370878536773e-05]",True
14,SVC_sigmoid,797,"[0.00012616232252595882, 0.00017279008319110584, 0.00018069352467955515, 0.0010124388354513627, 0.00018406088897687987, 0.00034892139432528784, -3.301943161801092e-05, -4.540557994099836e-05, 8.915721652223048e-05, 4.1800040302583915e-05, 5.212177741246934e-05, 3.8950324390163695e-05]",True
15,SVC_sigmoid,799,"[-0.0012771945881237129, -0.0011599494508082306, -0.00023528574040265372, 0.00025793848487376856, 0.0004186976346078078, 1.0193932948003217e-05, 0.0001510214121180522, -4.880514449529186e-05, 2.4666389436349875e-05, 2.6167100395643075e-05, -5.339512855868098e-05, 7.008844168662014e-05]",True
16,SVC_sigmoid,806,"[0.00016878636515000142, 0.0007293539055495338, 0.00032753851318106345, 0.0003961037431762645, 0.00016938900645484072, 0.00018154937914704864, 8.261335973105701e-05, 0.0002793478340814985, 0.00013899637380439104, 5.6940671319031134e-05, 0.00010262284430654935, 6.910169081487006e-06]",True
17,SVC_sigmoid,813,"[0.003136320948684361, 0.0015168508333037712, 0.0006285807982209749, 0.0004177766767750994, -7.669134515113523e-05, -0.00037225654847936637, 3.834565257356008e-06, -0.00045103725014111816, -4.1946722198515395e-05, 8.905758848300671e-06, -9.405789822918507e-05, -7.614717997375317e-05]",True
18,SVC_sigmoid,837,"[0.00013470966187302484, -2.2169146621028728e-05, 0.0005453298839890302, 0.00028266150772681564, 0.00012674669945117383, -0.00016280436616511408, 9.751230055547527e-05, 7.476004187783369e-05, 0.00013859152868352236, 0.00017496403512054154, 1.5998521513045324e-06, 3.3285085290009475e-05]",True
19,SVC_sigmoid,845,"[-5.5666900930723266e-05, 0.0004003879632317393, 0.0003978663683501504, 0.00020796368233944436, 0.000398042193884324, 0.0004701678866520574, 0.00015820516352546814, 0.00018015051248811628, 0.00010843783139592012, -2.869593573850564e-05, -2.0835736086618778e-05, -3.353314355927891e-05]",True
20,SVC_sigmoid,849,"[0.00030518737127481715, 4.443322023528313e-05, -0.00021036797122789063, 0.00014697517747730294, 6.843781464188869e-05, 5.3513202533321203e-05, 0.00027951889394098425, 9.260010436180147e-05, 6.954437870311639e-05, 5.3408953767762184e-05, -9.588241626176438e-06, 3.628300124546914e-05]",True
21,SVC_sigmoid,866,"[8.912362999319516e-05, 0.0002254364327142882, 7.649290688461687e-05, 0.00012814883150643857, 0.0002936544565175257, 0.00030784827884032236, -4.522475135998929e-05, 0.00025082798452914215, -5.928346947631851e-06, 0.00017772298414124078, 9.536231080500777e-05, -3.4342327001629375e-06]",True
