,openmlid,learner,max_anchor_seen,prediction,beta,fails_init,fails_fit,MSE_trn,MSE_tst,MSE_tst_last,L1_trn,L1_tst,L1_tst_last,n,curve_model,anchor_prediction,score,percentage,percentage_bucket
4618,16,sklearn.linear_model.LogisticRegression,45,"[0.57038715 0.66055413 0.73518211 0.80547181 0.87152633 0.93147665
 0.98433164 1.03319173 1.07766188 1.1180866  1.15487928 1.18832495
 1.21876562 1.25485398]",[1.52492757 2.03715024 0.27341855],0,0,6.48485826278841e-06,0.03301209200759596,0.09005687428593133,0.002260970104224269,0.15692170580447456,0.30009477550589136,4,pow3,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.027777777777777776,0.05
4619,16,sklearn.linear_model.LogisticRegression,64,"[0.56915952 0.66319064 0.73613204 0.80066433 0.85751187 0.90582406
 0.94574834 0.98036156 1.0098914  1.0350533  1.05651987 1.0748112
 1.09041621 1.10758561]",[1.18065727 2.18972032 0.46008188],0,0,1.3020694465164043e-05,0.009783457796679816,0.023355912585044804,0.0033411663110753274,0.08859923950738863,0.152826413244062,5,pow3,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.03950617283950617,0.05
4620,16,sklearn.linear_model.LogisticRegression,91,"[0.56758184 0.66563077 0.73821453 0.79959851 0.85121186 0.89304649
 0.92604158 0.95335504 0.97559573 0.9936834  1.00841176 1.02038988
 1.03014337 1.04031419]",[1.07274941 2.62670733 0.59460538],0,0,2.3283661572017923e-05,0.003376177443937116,0.007319656742224846,0.004255087165939937,0.053467768685932296,0.08555499250321308,6,pow3,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.05617283950617284,0.1
4621,16,sklearn.linear_model.LogisticRegression,128,"[0.56603965 0.6675258  0.7403177  0.80003149 0.84868624 0.88688139
 0.91607132 0.93949225 0.95797231 0.97253578 0.98402694 0.99308271
 1.00022807 1.00741466]",[1.02686601 3.08244368 0.68544485],0,0,3.288207562240251e-05,0.001383838447322643,0.0027725978542928525,0.005028463973723236,0.034975647360116935,0.05265546366990659,7,pow3,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.07901234567901234,0.1
4622,16,sklearn.linear_model.LogisticRegression,181,"[0.56459678 0.66900553 0.74221824 0.80098231 0.84779754 0.88371662
 0.91055453 0.93161244 0.94785768 0.96037464 0.97003091 0.97747106
 0.98321081 0.98883642]",[1.00252624 3.50809    0.75047884],0,0,4.0844017499603557e-05,0.0006218560569159797,0.0011612571147293974,0.005536287668333445,0.02379812162820479,0.03407722281421122,8,pow3,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.1117283950617284,0.2
4623,16,sklearn.linear_model.LogisticRegression,256,"[0.56343861 0.67003047 0.74367095 0.80193821 0.84767643 0.88224525
 0.90769417 0.92737128 0.94232822 0.95368315 0.96231425 0.96886677
 0.97384746 0.97864703]",[0.9895836  3.84293872 0.79319843],0,0,4.478891997200091e-05,0.00033209101484387566,0.0005706283619422734,0.005892293134553294,0.017655092055799248,0.023887828740642658,9,pow3,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.1580246913580247,0.2
4624,16,sklearn.linear_model.LogisticRegression,362,"[0.56241843 0.67082771 0.74488891 0.80286008 0.84786158 0.88149011
 0.90597164 0.92469248 0.93876461 0.94932925 0.9572705  0.96323239
 0.96771384 0.97197752]",[0.98124099 4.12964388 0.82540158],0,0,4.7549222594527624e-05,0.00018888881816078683,0.0002964704074928512,0.005828815075903782,0.013455562304764551,0.017218316046955673,10,pow3,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.2234567901234568,0.4
4625,16,sklearn.linear_model.LogisticRegression,512,"[0.56159029 0.67141056 0.745834   0.80363897 0.84815377 0.8811488
 0.90497708 0.92305417 0.93653392 0.94657303 0.95405901 0.95963423
 0.96379157 0.96771079]",[0.97594717 4.3561903  0.8485303 ],0,0,4.850692321854987e-05,0.0001206027959594079,0.00016774371570496042,0.0057955108253068465,0.010877799975200294,0.012951591242197247,11,pow3,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.3160493827160494,0.4
4626,16,sklearn.linear_model.LogisticRegression,724,"[0.56081325 0.67191212 0.74668705 0.80438266 0.84851122 0.8809937
 0.90429187 0.9218475  0.93484927 0.94446648 0.95158902 0.95685746
 0.96075928 0.964409  ]",[0.97186884 4.56425265 0.86824331],0,0,4.965339296639278e-05,7.279190282651597e-05,9.31186475322969e-05,0.005803931425267796,0.008446542022086279,0.00964980038820995,12,pow3,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.4469135802469136,0.8
4627,16,sklearn.linear_model.LogisticRegression,1024,"[0.56025447 0.67224713 0.74728007 0.80492084 0.84880778 0.88096354
 0.90392257 0.92114485 0.93384189 0.94319108 0.95008373 0.95515898
 0.95890068 0.96238248]",[0.96937071 4.71099402 0.88136219],0,0,4.883143664578574e-05,5.811442552068634e-05,5.811442552068634e-05,0.0057223555661644054,0.00762328180777061,0.00762328180777061,13,pow3,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.6320987654320988,0.8
