learner,anchors,openmlid,slopes,is_nonmonotonic64,is_nonmonotonic256,is_nonmonotonic
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 162]",446,"[-0.00015337043908472475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",FALSE,,FALSE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 828]",679,"[0.014909643865615283, 0.0037964808417044506, 0.0021789006663488868, -0.00039975712683742765, 6.839572907661783e-05, 0.0007812083300235852, 0.0005792478295356197, -0.00012449537294830792, 0.00015169603603081, -6.199668891918293e-05, 1.0356158502280806e-05, 8.626251025827289e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",715,"[-0.0144399205080686, -0.004723178861876043, 0.003232829280400945, 0.0053174880948994715, 0.002412986804244876, 0.0013866485674686013, 0.0006437138831070058, 0.0001900047935596311, 0.0005337249718635219, 7.712109988544621e-05, 7.175961002396171e-06, 8.745123258720721e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",723,"[-0.01446005361708994, -0.005943553665733692, 0.004188414972912331, 0.004559159795520699, 0.002444074383215204, 0.0018786883176130683, 0.0003454353132845775, 0.0001842699158889315, 0.00033293723727964445, 7.626431981891721e-05, 0.0002096700934949066, 0.00010486982461712558]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1448, 2048, 3281]",728,"[0.0016126153925720033, 0.00021356113811957448, 0.00044504862484225587, -0.00019906879290668638, 0.0004225695271993696, -0.0002324288794205776, -0.00016091583112550867, -0.0001526608496616494, -0.00015102227878163114, 9.66084415882389e-05, 6.775562825802009e-06, -3.3380100163701236e-05, 2.4571428571428592e-05, 7.688311688311762e-06, -3.0129870129870866e-06, -4.141353383458655e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1448, 2048, 2516]",737,"[0.005767778094864677, 0.0030168407419567038, 0.001013578977180887, 0.0004110854587515185, 6.530933410318949e-05, 0.0003310886972212001, 0.0002750120942778142, -0.0003390847535456511, -0.00011633502465240634, 8.373066732903497e-05, -4.4260027138538236e-05, 5.998684177046962e-05, -2.5402597402597424e-05, 4.576623376623381e-05, 3.376623376623379e-06, -1.633082706766919e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",740,"[0.005998870839140683, 0.010162726006790105, 0.004423563607193236, 0.0008230332394336076, 0.0007921055780403465, 0.0006322918537285583, 0.00024643957852553975, 0.00044129844432220887, 5.7565275010694144e-05, 9.744836460798587e-05, 7.559293060487666e-05, -2.1834330660000243e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 828]",741,"[0.006403221523280679, 0.003811928007914408, 0.0018455533458397414, 0.000218223609841487, 0.0008242233282793175, -0.000536492070964859, 0.00010257657820554295, 0.0003963962645973701, 9.284185304551723e-05, -0.00012751435818734148, -2.2018507568514255e-05, -4.329385109929114e-06]",TRUE,FALSE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",743,"[0.0111636398599692, 0.004936860335470743, 0.0017494790764420456, 0.0011940880517055464, 0.0008946347413779628, 0.001147611861175888, 0.00043901796889691836, 0.00048593757943530587, 0.0001471966411439899, -0.00010403050339070203, 9.08605718719869e-05, -2.7774048502720983e-05]",TRUE,FALSE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",751,"[0.005686515152497987, 0.007571396086645521, 0.004776484055455304, 0.002640634398520947, 0.0003373567892784213, 0.00036179864273091404, 0.0005647326608285232, 8.155533976755934e-05, 0.00023373056082757898, 6.7430374503703e-05, 0.00021847821566000434, 1.3943079992508154e-07]",TRUE,TRUE,TRUE
