,learner,openmlid,slopes,is_nonmonotonic
0,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,11,"[0.0030240931706235984, 0.002549362189926149, 0.0019928191459682955, 0.0005367406698251622, -0.00027455724848800484, -0.0005929700586979621, 0.0004502215487062381, 2.4669963231345242e-06, 0.00015805900356136515, -8.632634760756003e-05]",True
1,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,18,"[0.001818438837756814, 0.005666008646682077, 0.003110690188471088, 0.001700625769307023, 0.0008290673146502803, -3.0512734105479725e-05, -0.00010612026712682365, -0.00019451474490692387, 9.173155626184954e-05, 7.384999776161626e-06, -0.00012810626424456206, 0.00012368952882518976, 1.5792207792207805e-05, 0.00014039097744360918]",True
2,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,21,"[-0.008543108949228455, 0.00019577218830985215, 0.0010442864790469917, 0.0012681482404628924, 0.000746788675875497, -6.081992385318331e-05, -4.017726782623146e-05, 0.00024266366376825136, 5.404567397908695e-05, 5.054893247798105e-05, -3.372575864961955e-05, -2.936190870764414e-05, -6.181818181818183e-06, 4.132330827067674e-05]",True
3,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,54,"[-0.005513648595695959, -4.447611018637651e-05, 0.001980947139068581, 0.0023111803822298844, 0.0014397329336781138, 0.0013048212725822398, 0.00041882325076454224, 0.0003506345762246062, 0.00020383800573514497, -6.182964172161219e-05, -3.152301168828634e-05, -1.2283734101750373e-06]",True
4,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,55,"[-0.004295729205859075, -0.00010059217444241219, 0.0011951073421070661, 0.002601042699109696, 0.0013721146317097574, 0.00043005033160911725]",True
5,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,61,"[0.0004556042101789286, 0.0003194540286273632, 0.0004060212752304509, 0.00011910646260835181, 2.645919468754702e-06, 0.00014386335223847432]",True
6,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,181,"[0.004664598963010977, 0.005971465174237394, 0.004271021889277684, 0.0027525048175807004, 0.002641252612375229, 0.0014603287080928878, 0.0010972903367099881, 5.375703523327465e-05, -6.479861411429746e-06, -0.00023292373269942466, 1.5311613692954107e-05, -6.510756753381055e-05, -9.838961038961046e-05, -3.218045112781959e-05]",True
7,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,185,"[-0.00017316017316017308, 1.5741833923652088e-05, 0.0002245896235985586, 0.0005321646867595253, 0.0003580216778979032, 0.00015593001026440148, 0.00031802924125405856, 0.00017945037862615652, 2.8622864862906326e-05, 2.7832506834453825e-05, -3.7632974336185336e-05, -1.2094006748616997e-05, -3.142857142857068e-05, -1.4045112781955103e-05]",True
8,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,346,"[0.006225308239386168, 0.00955825962508846, 0.005833012657338377, 0.005833012657338377]",True
9,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,380,"[0.007201561220258743, 0.00167596897087535, -0.0002436051103263469, -0.0002088327966831666]",True
10,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,446,"[-0.00015337043908472475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False
11,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,679,"[0.014909643865615283, 0.0037964808417044506, 0.0021789006663488868, -0.00039975712683742765, 6.839572907661783e-05, 0.0007812083300235852, 0.0005792478295356197, -0.00012449537294830792, 0.00015169603603081, -6.199668891918293e-05, 1.0356158502280806e-05, 8.626251025827289e-05]",True
12,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,715,"[-0.0144399205080686, -0.004723178861876043, 0.003232829280400945, 0.0053174880948994715, 0.002412986804244876, 0.0013866485674686013, 0.0006437138831070058, 0.0001900047935596311, 0.0005337249718635219, 7.712109988544621e-05, 7.175961002396171e-06, 8.745123258720721e-05]",True
13,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,723,"[-0.01446005361708994, -0.005943553665733692, 0.004188414972912331, 0.004559159795520699, 0.002444074383215204, 0.0018786883176130683, 0.0003454353132845775, 0.0001842699158889315, 0.00033293723727964445, 7.626431981891721e-05, 0.0002096700934949066, 0.00010486982461712558]",True
14,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,728,"[0.0016126153925720033, 0.00021356113811957448, 0.00044504862484225587, -0.00019906879290668638, 0.0004225695271993696, -0.0002324288794205776, -0.00016091583112550867, -0.0001526608496616494, -0.00015102227878163114, 9.66084415882389e-05, 6.775562825802009e-06, -3.3380100163701236e-05, 2.4571428571428592e-05, 7.688311688311762e-06, -3.0129870129870866e-06, -4.141353383458655e-05]",True
15,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,737,"[0.005767778094864677, 0.0030168407419567038, 0.001013578977180887, 0.0004110854587515185, 6.530933410318949e-05, 0.0003310886972212001, 0.0002750120942778142, -0.0003390847535456511, -0.00011633502465240634, 8.373066732903497e-05, -4.4260027138538236e-05, 5.998684177046962e-05, -2.5402597402597424e-05, 4.576623376623381e-05, 3.376623376623379e-06, -1.633082706766919e-05]",True
16,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,740,"[0.005998870839140683, 0.010162726006790105, 0.004423563607193236, 0.0008230332394336076, 0.0007921055780403465, 0.0006322918537285583, 0.00024643957852553975, 0.00044129844432220887, 5.7565275010694144e-05, 9.744836460798587e-05, 7.559293060487666e-05, -2.1834330660000243e-05]",True
17,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,741,"[0.006403221523280679, 0.003811928007914408, 0.0018455533458397414, 0.000218223609841487, 0.0008242233282793175, -0.000536492070964859, 0.00010257657820554295, 0.0003963962645973701, 9.284185304551723e-05, -0.00012751435818734148, -2.2018507568514255e-05, -4.329385109929114e-06]",True
18,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,743,"[0.0111636398599692, 0.004936860335470743, 0.0017494790764420456, 0.0011940880517055464, 0.0008946347413779628, 0.001147611861175888, 0.00043901796889691836, 0.00048593757943530587, 0.0001471966411439899, -0.00010403050339070203, 9.08605718719869e-05, -2.7774048502720983e-05]",True
19,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,751,"[0.005686515152497987, 0.007571396086645521, 0.004776484055455304, 0.002640634398520947, 0.0003373567892784213, 0.00036179864273091404, 0.0005647326608285232, 8.155533976755934e-05, 0.00023373056082757898, 6.7430374503703e-05, 0.00021847821566000434, 1.3943079992508154e-07]",True
20,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,772,"[0.008941583504352854, 0.0027415023931588183, 0.0017836117946991809, 0.0020071161228873654, 0.0006536130459549117, 0.0005080796048115866, 0.0005597292270576837, 0.00013364464533662405, 0.0001486274773930256, 0.00010523415379338397, 2.0212094477000708e-05, 4.894321220351399e-05, 0.00010898701298701263, 0.00018583458646616495]",True
21,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,799,"[0.005099228984807055, 0.0020877488823405703, -6.421813184902821e-05, 0.0007043036055988014, 9.250530754001788e-05, -0.00022974273488420412, 0.0002433753011879279, -9.562242273274039e-05, 0.00011542920322950111, -5.2135986166815596e-05, -4.3324764410474515e-05, -1.8957230269279933e-05]",True
22,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,813,"[0.009459696497591442, 0.006535257873294944, 0.0033000060185080864, 0.0004743657554221607, 0.0007233022659451619, 0.0006356224516205751, 0.0004698703049007177, 0.00019815654275773286, -1.624876722759318e-05, -1.503613903743073e-05, -1.0929913637014073e-05, 1.6006952119085927e-05]",True
23,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,845,"[-0.0005239034728343214, 0.0038391381545384517, 0.00208282238879345, 0.0007117455951593626, 0.0008851380072326027, 0.0007122318151100063, 0.0003672857209815512, 0.00032282759494310723, 0.0001304155556261119, -7.81834386444462e-05, 1.5105748204037583e-06, -4.065104327851884e-05]",True
24,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,849,"[-0.016127287210189627, -0.007054058396817981, 0.001022076834152874, 0.0016695762246403947, 0.0013595031266736876, 0.001750512113547132, 0.00014013845696912486, 0.000519858296882972, 5.309530432309837e-05, 5.8943884963045344e-05, 7.650106061903485e-06, 6.428126197990095e-05]",True
25,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,871,"[0.013824511684475148, 0.004199894080649184, 0.003489943276333894, 0.0019480569130198887, 0.0002856090509351363, 0.00028991484805918717, 0.0005665444193032224, 1.2894008778635691e-05, -0.00014123296692506866, 0.00012051434104163721, 0.00016442218354044527, -0.00010704251445609477, -5.958441558441563e-05, -1.8493506493506496e-05, 1.4285714285714321e-05, 6.288721804511285e-05]",True
26,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,903,"[-0.012186843214173732, -0.00537221891442663, 0.003251813920544796, 0.003974811000072371, 0.0018730554718453215, 0.0015335274820810145, 0.0006981076607570631, 0.00019566811644330744, 0.00037858083332597186, 0.00026646802223192844, 0.00014138227545041783, 8.23357708779459e-05]",True
27,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,910,"[0.0019171337053895568, 0.00790823096752629, 0.003934032537726575, 0.0029012740890887695, 0.0013023978385540951, 0.00045636655029206803, 0.0002520831230551562, 3.1333432654922597e-05, 0.00032497953916963334, 2.81675822317949e-05, 3.254481233137137e-05, 1.799084249295764e-05]",True
28,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,912,"[0.009213001528053282, 0.003812282529297677, 0.00047942294415949106, -0.00011608275697868036, 0.001135690198658542, 8.873922395040601e-05, 0.0007535406785863863, -0.00010331169532410901, 0.0001186950176402036, 1.6341177008977473e-06, 2.9864899593589908e-05, -2.32864386762563e-05]",True
29,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,913,"[0.003148804460830585, 0.008348120412836295, 0.004217180095276089, 0.002235691258270011, 0.001329181108987055, 0.0010827528784081494, 0.0004996811141467456, -0.00011163168324431386, 0.0002729084441736069, 0.00011989353769831239, -5.854267191460106e-05, 1.0007180067798001e-05]",True
